schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
9/10/2020,2020,1,FALSE,Kansas City,34,20,Houston,KC,-9.5,53.5,,,,,,
9/13/2020,2020,1,FALSE,Detroit,23,27,Chicago,DET,-2.5,42.5,,,,,,
9/13/2020,2020,1,FALSE,Baltimore,38,6,Cleveland,BAL,-7,47,,,,,,
9/13/2020,2020,1,FALSE,Washington,27,17,Philadelphia,PHI,5.5,41.5,,,,,,
9/13/2020,2020,1,FALSE,Minnesota,34,43,Green Bay,MIN,-1,44,,,,,,
9/13/2020,2020,1,FALSE,Jacksonville,27,20,Indianapolis,IND,7,44,,,,,,
9/13/2020,2020,1,FALSE,Carolina,30,34,Las Vegas,OAK,3,48,,,,,,
9/13/2020,2020,1,FALSE,New England,21,11,Miami,NE,-7.5,41.5,,,,,,
9/13/2020,2020,1,FALSE,Buffalo,27,17,NY Jets,BUF,-6.5,39.5,,,,,,
9/13/2020,2020,1,FALSE,Atlanta,25,38,Seattle,ATL,-1,49.5,,,,,,
9/13/2020,2020,1,FALSE,Cincinnati,13,16,LA Chargers,LAC,2.5,41.5,,,,,,
9/13/2020,2020,1,FALSE,New Orleans,34,23,Tampa Bay,NO,-4,48.5,,,,,,
9/13/2020,2020,1,FALSE,San Francisco,20,24,Arizona,SF,-7,48.5,,,,,,
9/13/2020,2020,1,FALSE,LA Rams,20,17,Dallas,LAR,-1,52,,,,,,
9/14/2020,2020,1,FALSE,NY Giants,16,26,Pittsburgh,PIT,6,44,,,,,,
9/14/2020,2020,1,FALSE,Denver,14,16,Tennessee,TEN,3.5,41.5,,,,,,
9/17/2020,2020,2,FALSE,Cleveland,35,30,Cincinnati,CLE,-6,44.5,,,,,,
9/20/2020,2020,2,FALSE,Chicago,17,13,NY Giants,CHI,-4.5,42.5,,,,,,
9/20/2020,2020,2,FALSE,Miami,28,31,Buffalo,BUF,5.5,42.5,,,,,,
9/20/2020,2020,2,FALSE,Indianapolis,28,11,Minnesota,IND,-3.5,49,,,,,,
9/20/2020,2020,2,FALSE,Dallas,40,39,Atlanta,DAL,-3,53,,,,,,
9/20/2020,2020,2,FALSE,Philadelphia,19,37,LA Rams,PHI,-2,46,,,,,,
9/20/2020,2020,2,FALSE,Tampa Bay,31,17,Carolina,TB,-7.5,47,,,,,,
9/20/2020,2020,2,FALSE,Pittsburgh,26,21,Denver,PIT,-6,41,,,,,,
9/20/2020,2020,2,FALSE,Green Bay,42,21,Detroit,GB,-7,51,,,,,,
9/20/2020,2020,2,FALSE,Tennessee,33,30,Jacksonville,TEN,-7,44.5,,,,,,
9/20/2020,2020,2,FALSE,NY Jets,13,31,San Francisco,SF,7,41.5,,,,,,
9/20/2020,2020,2,FALSE,Arizona,30,15,Washington,ARI,-7.5,46.5,,,,,,
